property_id,property_url,purpose,type,added_on,furnishing,price,location,bed_bath_size,permit_number,agent_name,primary_image_url,breadcrumbs,amenities,description
Bayut - 710III2BRIII,https://www.bayut.com/property/details-11926157.html,For Rent,Apartment,15-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '110,000'}",The Gardens,"{'bedrooms': '2', 'bathrooms': '2', 'size': '1,012 sqft'}",,Nadim Manzoor,https://images.bayut.com/thumbnails/779470583-800x600.jpeg,,,
Bayut - TSQ-ST-SAFIT-4BR,https://www.bayut.com/property/details-11500963.html,For Rent,Townhouse,30-Apr-25,Unfurnished,"{'currency': 'AED', 'amount': '170,000'}",,"{'bedrooms': '4', 'bathrooms': '4', 'size': '2,843 sqft'}",,Bilal Anwar,,,,
Bayut - ANU-BLO-2,https://www.bayut.com/property/details-11992018.html,For Rent,Apartment,21-Jun-25,,"{'currency': 'AED', 'amount': '125,000'}",Jumeirah Village Circle (JVC),"{'bedrooms': '2', 'bathrooms': '2', 'size': '1,185 sqft'}",,Anuradha Sudesh,https://images.bayut.com/thumbnails/780542320-800x600.jpeg,,,
Bayut - ALWLDPRDSE.5501.MAYRENT.MQDDAS.SUH,https://www.bayut.com/property/details-11803563.html,For Rent,Apartment,30-May-25,Unfurnished,"{'currency': 'AED', 'amount': '104,990'}",Jumeirah Lake Towers (JLT),"{'bedrooms': '2', 'bathrooms': '3', 'size': '1,168 sqft'}",,Ahmad Al Saleh,https://images.bayut.com/thumbnails/779277550-800x600.jpeg,,,
Bayut - ALI-R-ST-H3,https://www.bayut.com/property/details-12039587.html,For Rent,Apartment,26-Jun-25,,"{'currency': 'AED', 'amount': '60,000'}",Jumeirah Village Circle (JVC),"{'bedrooms': ""{'@type': 'QuantitativeValue', 'name': 'Bedroom(s)', 'value': '0'}"", 'bathrooms': '1', 'size': '432 sqft'}",,Ibtihaj Ali,https://images.bayut.com/thumbnails/781651260-800x600.jpeg,,,
Bayut - 10682113-AHD,https://www.bayut.com/property/details-11972288.html,For Rent,Apartment,19-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '126,000'}",Jumeirah Village Circle (JVC),"{'bedrooms': '2', 'bathrooms': '3', 'size': '1,167 sqft'}",,Ahmad Mohammad,https://images.bayut.com/thumbnails/780230705-800x600.jpeg,,,
Bayut - SCVR-NSHZ-3120,https://www.bayut.com/property/details-11882870.html,For Rent,Apartment,10-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '74,900'}",Sobha Hartland,"{'bedrooms': '1', 'bathrooms': '1', 'size': '487 sqft'}",,Ahmad Al Saleh,https://images.bayut.com/thumbnails/779277700-800x600.jpeg,,,
Bayut - 107136-7PBX64,https://www.bayut.com/property/details-11971697.html,For Rent,Apartment,19-Jun-25,Furnished,"{'currency': 'AED', 'amount': '250,000'}",Al Wasl,"{'bedrooms': '2', 'bathrooms': '3', 'size': '1,473 sqft'}",,Assel Alibayeva,https://images.bayut.com/thumbnails/781707140-800x600.jpeg,,,
Bayut - 9778-SNdA4N,https://www.bayut.com/property/details-11717582.html,For Rent,Apartment,21-May-25,Furnished,"{'currency': 'AED', 'amount': '96,000'}",Al Furjan,"{'bedrooms': '1', 'bathrooms': '2', 'size': '1,056 sqft'}",,Asghar Muhammad,https://images.bayut.com/thumbnails/775751458-800x600.jpeg,,,
Bayut - UQP-21555,https://www.bayut.com/property/details-11739300.html,For Rent,Apartment,23-May-25,Unfurnished,"{'currency': 'AED', 'amount': '100,000'}",Town Square,"{'bedrooms': '2', 'bathrooms': '2', 'size': '909 sqft'}",,Ieuan Jack Phillips,https://images.bayut.com/thumbnails/777703293-800x600.jpeg,,,
Bayut - NOVVI-6310,https://www.bayut.com/property/details-11696903.html,For Rent,Apartment,20-May-25,,"{'currency': 'AED', 'amount': '139,999'}",Dubai Creek Harbour,"{'bedrooms': '2', 'bathrooms': '2', 'size': '1,217 sqft'}",,Brian Flanagan,https://images.bayut.com/thumbnails/775387102-800x600.jpeg,,,
Bayut - 107136-JvAqT9,https://www.bayut.com/property/details-11968514.html,For Rent,Apartment,19-Jun-25,Furnished,"{'currency': 'AED', 'amount': '70,000'}",Business Bay,"{'bedrooms': ""{'@type': 'QuantitativeValue', 'name': 'Bedroom(s)', 'value': '0'}"", 'bathrooms': '1', 'size': '487 sqft'}",,Assel Alibayeva,https://images.bayut.com/thumbnails/781707082-800x600.jpeg,,,
Bayut - FAR-002,https://www.bayut.com/property/details-12043064.html,For Rent,Apartment,26-Jun-25,Furnished,"{'currency': 'AED', 'amount': '56,000'}",Mohammed Bin Rashid City,"{'bedrooms': ""{'@type': 'QuantitativeValue', 'name': 'Bedroom(s)', 'value': '0'}"", 'bathrooms': '1', 'size': '416 sqft'}",,Alaa Kherbek,https://images.bayut.com/thumbnails/781636934-800x600.jpeg,,,
Bayut - Vivid-869,https://www.bayut.com/property/details-11795821.html,For Rent,Apartment,29-May-25,Unfurnished,"{'currency': 'AED', 'amount': '70,000'}",Jumeirah Village Circle (JVC),"{'bedrooms': '1', 'bathrooms': '2', 'size': '648 sqft'}",,Hassan Abbas,https://images.bayut.com/thumbnails/777662339-800x600.jpeg,,,
Bayut - Samara-5866,https://www.bayut.com/property/details-11969842.html,For Rent,Villa,19-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '280,000'}",Jumeirah Village Circle (JVC),"{'bedrooms': '1', 'bathrooms': '2', 'size': '4,426 sqft'}",,Muhammad Ali,https://images.bayut.com/thumbnails/780334394-400x300.jpeg,,,
Bayut - TREO-R-40000,https://www.bayut.com/property/details-11980572.html,For Rent,Townhouse,20-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '140,000'}",,"{'bedrooms': '3', 'bathrooms': '3', 'size': '1,890 sqft'}",,Ragheb Shikh,,,,
Bayut - IRE-02870,https://www.bayut.com/property/details-11948119.html,For Rent,Apartment,17-Jun-25,Furnished,"{'currency': 'AED', 'amount': '47,000'}",Arjan,"{'bedrooms': ""{'@type': 'QuantitativeValue', 'name': 'Bedroom(s)', 'value': '0'}"", 'bathrooms': '1', 'size': '469 sqft'}",,Tanveer Ahmad,https://images.bayut.com/thumbnails/779812451-800x600.jpeg,,,
Bayut - NOVVI-6562,https://www.bayut.com/property/details-11760070.html,For Rent,Apartment,26-May-25,Furnished,"{'currency': 'AED', 'amount': '230,000'}",Mohammed Bin Rashid City,"{'bedrooms': '2', 'bathrooms': '3', 'size': '1,640 sqft'}",,Katerina Nekh,https://images.bayut.com/thumbnails/779693193-800x600.jpeg,,,
Bayut - ARJ-HD-ASTAR-2BHK-Y,https://www.bayut.com/property/details-11972348.html,For Rent,Apartment,19-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '80,000'}",Al Furjan,"{'bedrooms': '2', 'bathrooms': '3', 'size': '905 sqft'}",,Hasan Dil Khan,https://images.bayut.com/thumbnails/780257962-800x600.jpeg,,,
